Age,Pitch,Formant,Intensity,Duration,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,Spectral Flatness,MFCC,Chroma,Zero Crossing Rate
20,1220.5729,592.6651387294199,0.0069283815,5.832018140589569,1827.3119935301995,1891.3209615153544,23.35788084581407,0.008766023,-27.616852,0.34494066,0.091979011656746
70,1613.8097,740.8762048443855,0.01505921,1.7280272108843535,2405.960496904277,1929.718353095397,22.093263155179454,0.039348245,-21.074581,0.3908138,0.1671484375
30,1681.9602,775.9330676540286,0.038096797,4.2240362811791385,1853.1629305305664,1379.0764996353346,25.51592056989497,0.0011736462,-20.890913,0.31456846,0.1201896248282967
60,794.12585,619.2183862629564,0.032311216,5.376009070294785,1844.103884548552,1897.4119562562723,22.80666669370473,0.022436742,-17.84557,0.35711962,0.0826879040948275
50,937.07153,848.577075196794,0.045045312,3.72,1910.1891376949236,2246.842211375253,20.065553698064697,0.032897133,-3.2917333,0.534488,0.0813973942158385
30,2053.552,970.1729140281268,0.08620262,5.784036281179138,3522.601718113571,2295.105149280438,22.12482996990016,0.055134468,-12.555191,0.42894563,0.24318359375
30,1567.8087,867.294132271595,0.06159175,3.5040362811791383,1989.741794364284,1694.000567007266,25.743906319517784,0.0033866325,-16.568226,0.36366418,0.1279717249586092
20,1612.2236,734.9333622129034,0.1077612,4.992018140589569,2684.2176095104173,2262.2579947309173,22.66625038517562,0.040015202,-9.247656,0.37825865,0.1534247819767442
20,1565.072,717.4296600775928,0.06204336,3.5040362811791383,2159.5398015491787,1652.7061342013874,22.63891890316501,0.011875898,-15.25618,0.41829634,0.1458990842301324
30,1207.394,522.7121919086449,0.077968225,5.208027210884354,1625.792631729929,1833.9485428137489,23.21500091410103,0.037947595,-14.588654,0.33324617,0.0785828993055555
40,1681.7659,811.6726836914356,0.020610677,6.096009070294785,2581.3983999002216,2268.922110865432,21.652551488683446,0.06133896,-24.081942,0.44708437,0.1576851384268061
20,1350.8666,673.4113055720578,0.07967234,4.944036281179138,2269.135784477279,2001.5137809302585,22.640759703388,0.020993492,-12.082933,0.3894503,0.127432236649061
10,1908.0326,813.7397857432674,0.006757405,6.024036281179138,2731.265039887702,1940.3171830912163,22.85563915579377,0.07607961,-29.590353,0.38603538,0.2261756310096153
20,1761.3313,727.167872989527,0.039665822,4.056009070294785,2009.6820047295275,1544.5851317284043,22.80439518585944,0.021888213,-17.676395,0.40783197,0.1413671875
30,1872.9651,929.4142177154353,0.023023251,10.896009070294784,2448.719845841102,1770.0663810632711,22.22488806442738,0.05036385,-22.853191,0.43007085,0.1706667636303191
60,1711.4893,951.6364552626212,0.06703535,5.664036281179138,1462.4133914376591,1179.302556516052,19.747678999133758,0.3163367,-18.603977,0.3033489,0.1051345575051229
40,1567.4617,830.0652255012586,0.034549795,3.864036281179138,2367.247364981353,2245.1650446656085,21.948236076302138,0.05037715,-18.42383,0.34113073,0.1420079762350299
20,1302.9141,560.6863574729656,0.055770885,2.568027210884354,1605.7235243697237,1799.8633882539782,21.605395577104822,0.021284388,-8.156649,0.47920194,0.084424268018018
30,1015.25037,653.8315361845403,0.07538232,6.1440362811791385,1797.7811109481747,1871.8134678307492,22.84965561932501,0.008831185,-11.583331,0.31581268,0.0956883844339622
40,925.0731,734.3195382060611,0.015627159,3.72,2189.1171759767813,2217.3650324560444,20.30538389432495,0.0418049,-25.810238,0.502741,0.1116071428571428
30,1185.369,621.8503151567559,0.02784981,1.6560090702947845,1434.4791218394428,1351.6997569262555,21.5902608808586,0.008121718,-17.80384,0.48242137,0.0952555338541666
70,1611.356,770.4404168828598,0.024294045,5.16,2816.957110777227,2330.134502052515,22.375749263400348,0.06947565,-23.000748,0.43122095,0.2016470186378924
50,1263.993,747.2870858217125,0.03343125,2.4960090702947846,2069.2625400540155,2120.5254092332243,20.8220545898126,0.034328774,-22.796803,0.42848197,0.111549660011574
20,1790.1439,775.3746029217715,0.04576208,4.584036281179138,2666.0407452199684,2085.0234102987765,23.82618747537438,0.050081454,-21.46244,0.3422642,0.1748909998421717
50,1765.0743,795.8999104240536,0.01915784,3.72,2709.6773212526605,2418.119756785495,21.00153539837769,0.12160655,-23.458632,0.53022546,0.1719477872670807
20,1175.5786,590.0680678865659,0.09087516,4.464036281179139,1665.09674657774,1700.829046720305,23.55887148938524,0.004574198,-13.145147,0.3017546,0.0812646737370466
20,1658.6687,647.8961379280422,0.15499626,5.304036281179139,1132.7546101295648,961.53961278526,23.983723145051837,0.0035063096,-13.89617,0.31716618,0.0767987513646288
50,1366.3416,830.7629565699673,0.040960647,3.864036281179138,1721.978509462018,1824.0970666342105,23.94608121982133,0.005013821,-13.441434,0.36030376,0.0755315540793413
20,1482.5261,647.2374443365231,0.025488386,7.824036281179138,2066.7398224825374,1440.078264585478,25.602766945507803,0.021576932,-18.485462,0.3551834,0.1472349081973293
40,1441.6968,735.4102887038439,0.028447755,7.2,2706.8596315278483,2335.631008314332,22.35700040167964,0.058529984,-17.801739,0.3653321,0.1694948251607717
50,1716.5022,855.0589184496242,0.056887116,3.6240362811791385,3149.422359629036,2367.4025389904177,23.62476183041387,0.03100532,-15.030317,0.36273822,0.1996261693869426
50,1864.984,886.9087628097096,0.024855522,3.1440362811791385,3008.9524442641145,2277.3489018015134,21.19028320766854,0.05749034,-16.743471,0.43591437,0.1769840016084558
